Proband;Alter;Alter_Gruppe;Geschlecht;Bildung;PC_Nutzung_pJ;PC_Nutzung_bJ;PC_Nutzung_pS;PC_Nutzung_bS;Kenntnisse_Betriebssystem;Kenntnisse_Internet;Kenntnisse_Programme;Betriebssystem_Win;Betriebssystem_Mac;Betriebssystem_Linux;Betriebssystem_Andere;Schwere;bekannt;UrsacheNennen;Lokation;Stabilitaet;Kontrollierbarkeit;Globalitaet;Aufgabe
14;55;3;2;4;10;15;1;9;3;3;1;1;0;0;0;7;7;Bauverordnung nicht gefunden;1;7;1;4;2
14;55;3;2;4;10;15;1;9;3;3;1;1;0;0;0;7;7;keine Ahnung wie das funktioniert;1;7;1;5;4
14;55;3;2;4;10;15;1;9;3;3;1;1;0;0;0;7;7;Unkenntnis;1;7;2;5;5
14;55;3;2;4;10;15;1;9;3;3;1;1;0;0;0;7;7;Unkenntnis;1;4;1;4;6
21;31;2;2;6;10;6;1;1;2;4;3;1;0;0;0;6;7;Begriff war schwierig zu finden;5;4;3;4;2
21;31;2;2;6;10;6;1;1;2;4;3;1;0;0;0;7;7;Das Programm ist mir nicht bekannt;4;6;6;5;4
21;31;2;2;6;10;6;1;1;2;4;3;1;0;0;0;7;7;Konnte nicht herausfinden, wie man das ausrechnet!;6;6;6;5;6
22;31;2;1;5;14;14;1;8;4;5;3;1;0;0;0;6;7;Bis Bauordnung alles übersichtlich,danach unübersichtlich;4;4;4;4;2
22;31;2;1;5;14;14;1;8;4;5;3;1;0;0;0;5;7;fehlende Kenntnisse;1;7;4;4;4
22;31;2;1;5;14;14;1;8;4;5;3;1;0;0;0;4;7;fehlende Kenntnisse über die Bedienung,  fehlende Optionen in der App;4;4;3;4;6
23;24;1;1;6;12;8;4;3;5;6;5;1;1;0;0;6;3;"Erneut die Fülle des Angebotes; Formulare, Dienstleistungen usw. Evtl. sollte man so etwas erstellen, wie: 'Best of Formulare'! Also auswerten, welche Infos man vorheben sollte/könnte, da ich denke, dass Fragen wie 'Wie hoch kann ich bauen?' recht relevant/elementar sind.";6;6;4;6;2
23;24;1;1;6;12;8;4;3;5;6;5;1;1;0;0;5;7;Bis zum Statistik-Button ist es ein kurzer/intuitiver Weg. Danach war mir nicht klar, wie die Zusammfassung der Gewichtsabhnahme anzeigen lassen kann. vllt nur in Pro?;5;6;3;4;6
